,LCOE,geometry,Energy,Power,CumEnergy
0,37.4221039697461,POINT (667839.3684 475468.7839),11159.450311111692,3.05,11.159450311111692
1,37.527392007552855,POINT (668634.6201 476661.6614),11190.394421585936,3.05,22.349844732697626
2,37.61350908606514,POINT (668038.1813 476264.0356),11213.49602483316,3.05,33.56334075753079
3,37.78942289256654,POINT (668236.9942 477059.2873),11123.663981291653,3.05,44.68700473882244
0,37.97621881390143,POINT (545768.2336 417415.4104),11025.45632262423,3.05,55.712461061446675
4,38.08166568745055,POINT (595670.2773 458370.8725),11017.314003779236,3.05,66.72977506522591
1,38.14924719586521,POINT (546165.8595 417017.7845),10992.841943023304,3.05,77.72261700824922
2,38.17282561310924,POINT (572409.1653 427157.2436),10865.370145714916,3.05,88.58798715396414
5,38.22782474775763,POINT (572607.9782 427157.2436),10859.037921317906,3.05,99.44702507528204
6,38.23040026758981,POINT (591892.8318 467913.8928),11001.037217050873,3.05,110.44806229233292
3,38.33765462164597,POINT (546563.4853 417614.2233),10924.557924913606,3.05,121.37262021724652
4,38.34068185370303,POINT (545569.4207 416818.9716),10940.370350375617,3.05,132.31299056762217
5,38.388321504118,POINT (559685.1382 418608.2879),10868.50243135718,3.05,143.18149299897934
0,38.438176469337485,POINT (256097.8048 347234.4485),10887.839852514684,3.05,154.069332851494
7,38.46052121083801,POINT (573999.6687 427356.0565),10819.394553430886,3.05,164.8887274049249
8,38.54234216402369,POINT (592688.0835 468510.3316),10865.213708123518,3.05,175.7539411130484
6,38.618351674734136,POINT (545768.2336 418011.8491),10818.142498293646,3.05,186.57208361134207
7,38.71666754642937,POINT (559088.6995 418210.6621),10788.89142922355,3.05,197.36097504056562
8,38.71944947079908,POINT (558094.6349 418807.1008),10788.78155617871,3.05,208.1497565967443
9,38.78292314558898,POINT (591694.0188 468510.3316),10625.204198373352,3.05,218.7749607951177
10,38.7966990949208,POINT (669827.4976 478848.6036),10742.018614263625,3.05,229.51697940938132
11,38.86804379674885,POINT (668634.6201 476065.2227),10803.12255627401,3.05,240.3201019656553
9,38.87075360635168,POINT (558492.2607 419204.7267),10729.872987201315,3.05,251.04997495285664
10,38.91423890953387,POINT (569029.3456 426958.4307),10690.468061650445,3.05,261.7404430145071
11,38.963752812578456,POINT (546364.6724 418210.6621),10700.169809082236,3.05,272.4406128235893
12,38.97086859458934,POINT (594477.3998 457177.995),10685.00157436931,3.05,283.1256143979586
13,39.00824374672124,POINT (573602.0429 426958.4307),10688.316043707866,3.05,293.8139304416665
14,39.01332176029323,POINT (668435.8071 475468.7839),10768.044521124986,3.05,304.5819749627915
15,39.02549003223004,POINT (617738.5118 415824.907),10531.606719367446,3.05,315.11358168215895
16,39.05970260447043,POINT (594875.0256 457575.6208),10598.471045765387,3.05,325.7120527279243
12,39.07844539379963,POINT (559685.1382 418011.8491),10643.021532709396,3.05,336.3550742606337
17,39.117966039219226,POINT (585928.4441 466721.0153),10469.246469276572,3.05,346.82432072991026
18,39.12341487140725,POINT (574397.2945 426958.4307),9633.09692067492,3.05,356.45741765058517
13,39.14772167380024,POINT (544177.7302 416620.1587),10641.051515513842,3.05,367.09846916609905
14,39.16190341664414,POINT (544972.9819 417216.5974),10599.519560373075,3.05,377.69798872647215
15,39.17333174557446,POINT (558094.6349 419801.1654),10621.01222842763,3.05,388.31900095489976
16,39.18744069860974,POINT (560679.2029 418608.2879),10633.627905622336,3.05,398.9526288605221
19,39.1879223156558,POINT (573005.6041 426759.6178),10663.48007924948,3.05,409.6161089397716
17,39.18939981584579,POINT (543780.1044 413836.7778),10523.63122070974,3.05,420.1397401604814
18,39.19670974120789,POINT (571017.4749 426759.6178),10572.638655935363,3.05,430.71237881641673
19,39.23041347045476,POINT (546762.2982 418608.2879),10555.685970375407,3.05,441.26806478679214
20,39.24312042811503,POINT (557697.009 419403.5396),10608.42340987892,3.05,451.87648819667106
21,39.24680619420421,POINT (556901.7573 420198.7913),10585.659027724529,3.05,462.4621472243956
20,39.26844875747977,POINT (554118.3764 447038.5359),10574.73305666808,3.05,473.03688028106365
21,39.27956982489631,POINT (624299.3382 416421.3458),10595.759950711015,3.05,483.6326402317747
22,39.2809418111198,POINT (586127.257 451810.0461),10595.1384432891,3.05,494.2277786750638
22,39.32575153213524,POINT (560281.577 419005.9138),10548.869270648587,3.05,504.7766479457124
23,39.36575228572424,POINT (596266.7161 458967.3113),10464.6372407666,3.05,515.241285186479
24,39.38756527987885,POINT (573204.417 427356.0565),10354.503997240416,3.05,525.5957891837195
25,39.4005251203494,POINT (590302.3284 467118.6411),10589.015179152071,3.05,536.1848043628714
23,39.40213856272895,POINT (558889.8866 427753.6824),10320.944698804771,3.05,546.5057490616762
24,39.423488205014685,POINT (545967.0466 418608.2879),10473.013956740391,3.05,556.9787630184165
26,39.42734729689985,POINT (596863.1548 405884.2608),10541.698741539218,3.05,567.5204617599559
27,39.42922922612694,POINT (618136.1376 415427.2811),10545.200626841088,3.05,578.0656623867969
25,39.44097087959373,POINT (568035.281 427356.0565),10541.36249265745,3.05,588.6070248794545
28,39.46128210763708,POINT (573005.6041 430338.2504),10476.22340910901,3.05,599.0832482885635
26,39.5006109210204,POINT (544575.3561 417614.2233),10534.277153955709,3.05,609.6175254425191
27,39.50350351569556,POINT (558889.8866 418807.1008),10520.28733757066,3.05,620.1378127800898
29,39.518502547281365,POINT (594278.5868 455388.6787),10356.01874731554,3.05,630.4938315274053
28,39.52315715785316,POINT (569625.7844 426361.9919),10510.60567830916,3.05,641.0044372057145
30,39.532021122588894,POINT (592290.4576 468907.9574),10419.980008692955,3.05,651.4244172144073
29,39.53825892009919,POINT (557299.3832 419801.1654),10551.82247914828,3.05,661.9762396935556
0,39.54009780613974,POINT (619329.0151 489584.5014),10468.508716517455,3.05,672.4447484100731
31,39.54009780613974,POINT (619527.8281 489385.6885),10508.081210222748,3.05,682.9528296202959
32,39.54507855871553,POINT (596266.7161 406083.0738),10507.586328433465,3.05,693.4604159487294
33,39.56367106597405,POINT (595073.8385 472088.9642),10510.586637939732,3.05,703.9710025866691
30,39.57274781101386,POINT (559287.5124 430537.0633),10478.08935156851,3.05,714.4490919382375
34,39.58981898707011,POINT (589507.0767 455786.3045),10491.541887623329,3.05,724.9406338258609
35,39.62332535625418,POINT (593284.5222 468709.1445),10480.753151524925,3.05,735.4213869773859
36,39.62823106578099,POINT (599646.5358 439086.019),10452.370210244391,3.05,745.8737571876303
31,39.63189147865329,POINT (596465.529 405884.2608),10481.46009143716,3.05,756.3552172790675
32,39.64639947129826,POINT (549943.305 418011.8491),10185.609682644585,3.05,766.5408269617121
37,39.65857092328452,POINT (549148.0533 448827.8522),10380.678744937875,3.05,776.92150570665
33,39.66998280797252,POINT (553124.3118 416421.3458),10464.89160744065,3.05,787.3863973140907
34,39.6757095285286,POINT (548551.6146 413836.7778),10462.96255168605,3.05,797.8493598657767
38,39.67809600784628,POINT (624100.5253 413240.339),10367.712320559202,3.05,808.2170721863359
39,39.69415436085541,POINT (550340.9309 452605.2977),10467.453838189836,3.05,818.6845260245258
40,39.70494102469928,POINT (591296.393 467715.0799),10390.717582014511,3.05,829.0752436065403
41,39.70664510476906,POINT (573403.2299 430934.6891),10378.833918785218,3.05,839.4540775253255
35,39.71068279054048,POINT (549148.0533 415824.907),10361.895547460932,3.05,849.8159730727864
42,39.72250856558546,POINT (608791.9302 490578.566),10423.956101761456,3.05,860.2399291745478
43,39.73229937806465,POINT (589904.7025 454593.427),10397.674105721982,3.05,870.6376032802698
36,39.75088514122972,POINT (561076.8287 419005.9138),10372.155434397477,3.05,881.0097587146673
44,39.76698198402955,POINT (599646.5358 476065.2227),10343.21114182195,3.05,891.3529698564893
45,39.76843456832127,POINT (571017.4749 430139.4374),10402.154480013194,3.05,901.7551243365024
37,39.76843456832127,POINT (571017.4749 429940.6245),10432.665253925246,3.05,912.1877895904277
46,39.77074429268249,POINT (623702.8995 416222.5328),10453.630321073724,3.05,922.6414199115013
38,39.77197538039666,POINT (557697.009 420198.7913),10340.49807173309,3.05,932.9819179832344
39,39.77388505790282,POINT (571812.7265 426361.9919),10430.988618317137,3.05,943.4129066015515
40,39.7746511158455,POINT (572409.1653 426163.179),10413.803525516538,3.05,953.826710127068
41,39.79751150391806,POINT (559486.3253 419204.7267),10377.906920699856,3.05,964.204617047768
42,39.7985395677915,POINT (595869.0902 406281.8867),10422.536622356636,3.05,974.6271536701246
47,39.801130121042064,POINT (585530.8182 451611.2331),10372.909574881942,3.05,985.0000632450065
43,39.8161854936779,POINT (559883.9512 430537.0633),10411.98806568353,3.05,995.41205131069
44,39.82710496699425,POINT (544972.9819 418011.8491),10392.762053598091,3.05,1005.8048133642881
48,39.83054684121032,POINT (553720.7506 446243.2842),10416.83789434062,3.05,1016.2216512586288
49,39.83655847619512,POINT (576385.4238 458768.4984),10410.208112128345,3.05,1026.631859370757
50,39.85015378711034,POINT (617539.6988 400118.6861),10410.154187144935,3.05,1037.042013557902
45,39.85599181717916,POINT (573005.6041 426560.8048),10427.263686782524,3.05,1047.4692772446845
51,39.86463862079494,POINT (593085.7093 468112.7057),10324.902238053608,3.05,1057.794179482738
46,39.88868222724624,POINT (564854.2742 428151.3082),10393.12515532144,3.05,1068.1873046380597
47,39.89116565844124,POINT (525489.3155 407673.5771),10392.233394546847,3.05,1078.5795380326065
48,39.89873760491619,POINT (556702.9444 419602.3525),10407.986302410907,3.05,1088.9875243350175
52,39.90175082146839,POINT (595670.2773 458967.3113),10233.387466492975,3.05,1099.2209118015105
53,39.91332355804954,POINT (618533.7635 415824.907),10353.931233192368,3.05,1109.5748430347028
54,39.9172542535832,POINT (597857.2195 459166.1242),10383.36299393629,3.05,1119.958206028639
55,39.92260269039784,POINT (586524.8829 452207.6719),10402.85363066928,3.05,1130.3610596593082
56,39.928633755400014,POINT (598453.6582 405884.2608),10135.223144787957,3.05,1140.4962828040964
57,39.929076319460215,POINT (589308.2638 436700.2639),10364.796132546147,3.05,1150.8610789366426
58,39.93283084419783,POINT (572806.7912 430934.6891),10286.479241251249,3.05,1161.1475581778936
0,39.93589110634515,POINT (369023.5451 351011.8941),10192.27217662118,3.05,1171.339830354515
59,39.93870364366951,POINT (600044.1616 405486.635),10378.538711448044,3.05,1181.7183690659629
49,39.94971593898817,POINT (570222.2232 427554.8694),10299.76446304066,3.05,1192.0181335290038
50,39.96905242581882,POINT (547159.9241 420596.4171),10169.4422043115,3.05,1202.1875757333153
60,39.97312795301619,POINT (597061.9678 459563.7501),10276.005930959464,3.05,1212.4635816642747
61,39.98438876175688,POINT (589308.2638 454195.8011),10313.64419404318,3.05,1222.777225858318
51,39.99597090878061,POINT (599845.3487 405287.8221),10358.278200084736,3.05,1233.1355040584028
52,40.00177098172127,POINT (543978.9173 418011.8491),10075.937598244023,3.05,1243.2114416566467
62,40.028913511982815,POINT (598254.8453 410059.3322),10340.852929491848,3.05,1253.5522945861385
63,40.036777508240526,POINT (599050.097 439086.019),10330.653506003073,3.05,1263.8829480921418
64,40.03988914293278,POINT (599447.7228 438489.5802),10357.036613483544,3.05,1274.2399847056251
65,40.04684080700613,POINT (591097.5801 432922.8184),10338.477257717494,3.05,1284.5784619633425
66,40.05128776607632,POINT (592290.4576 453400.5494),10340.23954324653,3.05,1294.918701506589
67,40.05267421418683,POINT (545569.4207 457973.2467),10055.916415942582,3.05,1304.9746179225317
53,40.06360373284822,POINT (567438.8422 425765.5531),10242.808482514964,3.05,1315.2174264050466
54,40.06480985536654,POINT (551732.6213 416421.3458),10220.25524650804,3.05,1325.4376816515546
55,40.0656404734434,POINT (557100.5702 419204.7267),10359.460378449934,3.05,1335.7971420300044
68,40.0667856071932,POINT (593483.3352 467715.0799),10313.15549189475,3.05,1346.1102975218992
56,40.07534723128103,POINT (552329.0601 416421.3458),10294.098519641097,3.05,1356.4043960415404
57,40.08404889996655,POINT (545171.7949 413041.5261),10340.285865396663,3.05,1366.744681906937
58,40.08449152810809,POINT (554317.1893 417017.7845),10329.726477371849,3.05,1377.074408384309
69,40.09720077540163,POINT (594278.5868 457774.4337),10315.447042420456,3.05,1387.3898554267294
70,40.09875872314718,POINT (586524.8829 452804.1107),10258.323510260736,3.05,1397.6481789369902
59,40.112210088133054,POINT (556504.1315 419005.9138),10320.868860027856,3.05,1407.969047797018
60,40.11669860264046,POINT (557498.1961 418807.1008),10342.8074787288,3.05,1418.3118552757467
71,40.12137460711929,POINT (576186.6109 454593.427),10317.83572045732,3.05,1428.629690996204
61,40.12906178240821,POINT (573403.2299 426163.179),10315.107887766617,3.05,1438.9447988839706
72,40.13583959619276,POINT (531453.7032 490777.379),10180.24470067018,3.05,1449.125043584641
73,40.14031007507806,POINT (613364.6275 410655.771),10271.620158798813,3.05,1459.3966637434396
62,40.14838792024352,POINT (551136.1826 416222.5328),10266.365456895128,3.05,1469.663029200335
74,40.1538088028149,POINT (565251.9001 434712.1347),10284.923765622612,3.05,1479.9479529659573
75,40.1538186754081,POINT (618533.7635 412643.9002),10307.51315951054,3.05,1490.2554661254678
63,40.15519397123957,POINT (597857.2195 405287.8221),10294.653231627097,3.05,1500.550119357095
64,40.157173035817415,POINT (571017.4749 426163.179),10340.35355651378,3.05,1510.8904729136086
65,40.16140465159796,POINT (556305.3186 419999.9784),10305.077144856994,3.05,1521.1955500584656
76,40.16737663332693,POINT (585729.6312 466124.5765),10284.410450198722,3.05,1531.4799605086644
77,40.16819500147197,POINT (600242.9745 476264.0356),10268.25040312948,3.05,1541.7482109117939
66,40.17401821837159,POINT (543581.2915 416421.3458),10300.63934077021,3.05,1552.048850252564
67,40.185827691807695,POINT (545370.6078 418409.475),10297.262270177474,3.05,1562.3461125227416
68,40.20389767070982,POINT (573602.0429 426759.6178),10333.294852575187,3.05,1572.679407375317
78,40.20422569566487,POINT (621913.5831 413836.7778),10291.37953066511,3.05,1582.9707869059819
69,40.208059842466994,POINT (571415.1007 425765.5531),10290.154413097956,3.05,1593.2609413190798
79,40.21479279575242,POINT (667640.5554 476661.6614),10150.224915785033,3.05,1603.4111662348648
70,40.217302340770985,POINT (544376.5432 414035.5907),10257.667181209652,3.05,1613.6688334160744
80,40.23219917767875,POINT (575788.985 457973.2467),10223.825763316872,3.05,1623.8926591793913
81,40.23973993805135,POINT (596664.3419 406480.6996),10200.14064375046,3.05,1634.0927998231418
71,40.25075915077179,POINT (570818.6619 427356.0565),10210.824080776028,3.05,1644.303623903918
72,40.25616730014498,POINT (566842.4035 428548.9341),10269.606906347151,3.05,1654.5732308102652
82,40.26608545485777,POINT (588711.825 453201.7365),10211.418462134778,3.05,1664.7846492723997
83,40.27240650173898,POINT (556504.1315 443857.5291),10230.411366082932,3.05,1675.0150606384827
84,40.28544603971391,POINT (576584.2367 455189.8657),10223.842037475417,3.05,1685.2389026759581
85,40.2878402846086,POINT (596067.9032 473083.0288),10239.327355782938,3.05,1695.478230031741
73,40.30556014918575,POINT (550142.1179 416421.3458),10202.395007317424,3.05,1705.6806250390584
74,40.30819306675323,POINT (524892.8767 407474.7642),10205.43151831862,3.05,1715.886056557377
86,40.32245847700428,POINT (619726.641 412246.2744),10225.605836593964,3.05,1726.111662393971
87,40.32515477068302,POINT (600044.1616 438489.5802),10240.567135152807,3.05,1736.352229529124
88,40.32808138958904,POINT (575987.7979 455189.8657),10174.2478063979,3.05,1746.526477335522
89,40.33685999065358,POINT (592290.4576 453996.9882),10247.454213313558,3.05,1756.7739315488354
75,40.33934246552453,POINT (546762.2982 415427.2811),10010.603189620651,3.05,1766.7845347384562
90,40.34188780608342,POINT (545370.6078 457376.8079),10240.56725143135,3.05,1777.0251019898874
91,40.342647286050585,POINT (601435.8521 440080.0836),10247.24096353886,3.05,1787.2723429534262
76,40.34607517780962,POINT (557299.3832 420596.4171),10205.864887966543,3.05,1797.4782078413928
92,40.34660805061797,POINT (595471.4644 472486.59),10239.254856281132,3.05,1807.7174626976741
93,40.35222521084021,POINT (598254.8453 459563.7501),10171.604880719677,3.05,1817.8890675783937
77,40.36569218299161,POINT (558691.0736 419801.1654),10173.093402067816,3.05,1828.0621609804616
78,40.368851528621626,POINT (555510.0669 419005.9138),10033.667453605543,3.05,1838.095828434067
79,40.37688538280503,POINT (556702.9444 418409.475),10236.2827118925,3.05,1848.3321111459595
80,40.378276126933336,POINT (543581.2915 417614.2233),10122.389874789627,3.05,1858.4545010207491
81,40.38303092327099,POINT (567836.4681 425367.9273),10222.27413492294,3.05,1868.6767751556722
94,40.3848792878075,POINT (601833.4779 440477.7094),10223.47865145882,3.05,1878.9002538071309
95,40.39462982612001,POINT (593880.961 437694.3285),10228.65547942258,3.05,1889.1289092865536
96,40.3950669293428,POINT (599248.9099 406281.8867),10185.260258494249,3.05,1899.3141695450477
82,40.40159001536973,POINT (556106.5056 419403.5396),10221.247242293057,3.05,1909.5354167873409
97,40.403963115989335,POINT (620323.0798 412246.2744),10136.882939690408,3.05,1919.6722997270313
98,40.40756057473717,POINT (549943.305 452207.6719),10257.222034620683,3.05,1929.9295217616518
99,40.415236739391965,POINT (625094.5899 417614.2233),10224.36009654494,3.05,1940.1538818581969
100,40.42260648565574,POINT (554317.1893 447634.9747),10176.217883259464,3.05,1950.3300997414563
101,40.42501864299024,POINT (599447.7228 405486.635),10248.691597566512,3.05,1960.5787913390227
102,40.432427138133015,POINT (595073.8385 458768.4984),10218.741543383445,3.05,1970.7975328824061
103,40.4359070465419,POINT (593880.961 454991.0528),10093.635475794656,3.05,1980.8911683582007
104,40.44191595429959,POINT (594875.0256 455587.4916),9980.884486735846,3.05,1990.8720528449364
105,40.45356706514832,POINT (623305.2736 416620.1587),10156.498718871848,3.05,2001.0285515638082
106,40.454304780035,POINT (597260.7807 405486.635),10212.150470754652,3.05,2011.240702034563
83,40.45470856999094,POINT (558889.8866 427157.2436),10228.731530996529,3.05,2021.4694335655593
107,40.4601971593826,POINT (597857.2195 437893.1414),10119.652224341988,3.05,2031.5890857899012
84,40.47095623429252,POINT (596863.1548 405486.635),10206.84166902564,3.05,2041.7959274589268
108,40.4717655526385,POINT (602032.2908 473083.0288),10165.290536995471,3.05,2051.961217995922
85,40.4846051894937,POINT (560082.7641 427753.6824),10191.366694754575,3.05,2062.152584690677
86,40.48639563592044,POINT (546961.1112 418011.8491),10216.870979107534,3.05,2072.3694556697847
109,40.48780364876878,POINT (595073.8385 465925.7636),10032.2189149611,3.05,2082.4016745847457
87,40.4885288865151,POINT (531652.5161 414433.2165),10185.99696119189,3.05,2092.5876715459376
110,40.48973017614547,POINT (594676.2127 458370.8725),10196.898507353291,3.05,2102.784570053291
88,40.504645695643454,POINT (558492.2607 418409.475),10248.948677332226,3.05,2113.033518730623
89,40.5085456410623,POINT (558293.4478 425566.7402),10163.979711552613,3.05,2123.197498442176
111,40.509322858176986,POINT (572409.1653 430338.2504),10147.058917555718,3.05,2133.3445573597314
112,40.52050416475536,POINT (613762.2533 410258.1451),10191.356482656603,3.05,2143.535913842388
113,40.52160060297528,POINT (598652.4712 410456.9581),10150.096324501315,3.05,2153.686010166889
114,40.52578091633276,POINT (600640.6004 405486.635),10168.44939730095,3.05,2163.8544595641897
90,40.52932053331789,POINT (544774.169 416620.1587),10174.19225014585,3.05,2174.028651814336
91,40.53264309513399,POINT (560082.7641 431133.5021),10117.443239514752,3.05,2184.146095053851
115,40.54077810331267,POINT (575987.7979 424970.3014),10161.009218100007,3.05,2194.3071042719507
92,40.54077810331267,POINT (575788.985 424970.3014),10160.620468360788,3.05,2204.4677247403115
116,40.54123139303275,POINT (601038.2262 440676.5224),10184.799251212256,3.05,2214.6525239915236
93,40.54212913581715,POINT (598453.6582 405486.635),10170.865697988467,3.05,2224.823389689512
117,40.56103426635524,POINT (591694.0188 466522.2024),10162.39471185054,3.05,2234.9857844013627
118,40.56347447404893,POINT (601237.0392 441272.9611),10149.386884971023,3.05,2245.135171286334
119,40.5728691781541,POINT (623901.7124 416818.9716),10029.936111180345,3.05,2255.1651073975145
120,40.57989516244249,POINT (622708.8348 416620.1587),10150.969014835644,3.05,2265.31607641235
121,40.5822340331428,POINT (594676.2127 410258.1451),10154.583867550702,3.05,2275.4706602799006
94,40.58468945532847,POINT (540599.0976 413637.9648),10157.018714326216,3.05,2285.627678994227
122,40.58756708482176,POINT (594875.0256 440676.5224),8375.4884232603,3.05,2294.0031674174875
123,40.58842588564813,POINT (531056.0773 490379.7531),10169.178776609382,3.05,2304.172346194097
95,40.58859590471076,POINT (482346.9112 392762.6079),10169.799183161402,3.05,2314.3421453772585
124,40.58916443053548,POINT (617738.5118 497139.3925),10169.09306109383,3.05,2324.511238438352
125,40.59098490497696,POINT (569625.7844 431332.315),10169.251100928614,3.05,2334.6804895392806
126,40.594211163914245,POINT (599447.7228 410655.771),10152.269763645809,3.05,2344.832759302926
127,40.6006844752333,POINT (593483.3352 437296.7027),10166.12464193832,3.05,2354.9988839448642
96,40.60141594387065,POINT (569625.7844 429741.8116),9950.661333521684,3.05,2364.9495452783863
128,40.608709981196135,POINT (571216.2878 431729.9408),10160.028414797733,3.05,2375.109573693184
129,40.6121834521359,POINT (590898.7672 467317.4541),10183.46622937921,3.05,2385.293039922563
130,40.61831801613325,POINT (597658.4065 474872.3451),10085.366258190505,3.05,2395.3784061807532
131,40.620527601387245,POINT (554317.1893 446442.0971),10160.48652675776,3.05,2405.5388927075114
132,40.62310216247169,POINT (551533.8084 446243.2842),10106.526334436834,3.05,2415.645419041948
133,40.6300561923609,POINT (600242.9745 439881.2707),10107.137015212676,3.05,2425.7525560571607
97,40.632772193549336,POINT (568432.9069 425566.7402),10179.449506824343,3.05,2435.932005563985
134,40.63296465622361,POINT (589705.8896 437296.7027),10203.530298613312,3.05,2446.1355358625988
135,40.63524349444741,POINT (585530.8182 467118.6411),10155.456675041622,3.05,2456.2909925376402
0,40.64084316182253,POINT (634041.1715 388388.7236),10167.12699210983,3.05,2466.4581195297496
98,40.64811454975176,POINT (568035.281 425964.3661),10151.03453424358,3.05,2476.609154063993
136,40.65938813566416,POINT (618931.3893 413041.5261),10025.049988740046,3.05,2486.6342040527334
99,40.66318060636899,POINT (542189.601 418011.8491),10052.26157135261,3.05,2496.686465624086
100,40.66822773596364,POINT (545768.2336 420198.7913),10077.311767295116,3.05,2506.763777391381
137,40.66880635996713,POINT (622311.209 416222.5328),10149.282804653134,3.05,2516.913060196034
138,40.67582556160177,POINT (591694.0188 467317.4541),10142.926848967692,3.05,2527.0559870450015
139,40.67734338842645,POINT (621317.1444 415824.907),10135.713441077356,3.05,2537.191700486079
140,40.68048899386029,POINT (600640.6004 438489.5802),10123.132599518529,3.05,2547.3148330855975
141,40.681283034646256,POINT (666845.3038 475866.4097),10140.383377828652,3.05,2557.455216463426
142,40.69113029880685,POINT (604418.0459 442465.8387),10137.88165978475,3.05,2567.593098123211
143,40.69133880293548,POINT (574198.4816 453400.5494),10137.864918470084,3.05,2577.7309630416808
101,40.69366273009368,POINT (565848.3389 428548.9341),10120.737975072914,3.05,2587.851701016754
144,40.7025102832397,POINT (593483.3352 438091.9544),9997.062422799843,3.05,2597.8487634395537
