,LCOE,geometry,Energy,Power,CumEnergy
0,55.3394904352235,POINT (657103.4705 426958.4307),8781.330104117767,3.05,8.781330104117767
1,55.4922221512263,POINT (656705.8447 427356.0565),8786.960703628441,3.05,17.56829080774621
2,55.7114910852278,POINT (657699.9093 426361.9919),8685.888094224303,3.05,26.25417890197051
3,56.9861874983531,POINT (656904.6576 427952.4953),8749.590299453914,3.05,35.003769201424426
4,57.5569344468209,POINT (657699.9093 426958.4307),8718.232249672876,3.05,43.7220014510973
5,57.6427397884463,POINT (658296.3481 426361.9919),8669.610447226509,3.05,52.3916118983238
6,57.6544525985291,POINT (657302.2834 427554.8694),8787.22455962529,3.05,61.178836457949096
7,58.1897315631094,POINT (656308.2188 427753.6824),8679.932819340822,3.05,69.85876927728992
8,59.2476402027572,POINT (657103.4705 428548.9341),8651.809813746624,3.05,78.51057909103655
9,59.5664936335257,POINT (658296.3481 426958.4307),8690.25866872418,3.05,87.20083775976073
10,59.6603392287164,POINT (656507.0318 428350.1211),8618.076161722185,3.05,95.81891392148292
11,59.9078167621323,POINT (657898.7222 427554.8694),8771.058542914729,3.05,104.58997246439765
12,59.9196767907354,POINT (674599.0078 428946.5599),7776.601032752173,3.05,112.36657349714983
13,59.9774383240895,POINT (657501.0964 428151.3082),8699.243602709992,3.05,121.06581709985983
14,60.1265797834624,POINT (658892.7868 426560.8048),8698.645489882438,3.05,129.76446258974227
15,60.7662241925014,POINT (655910.593 428151.3082),8660.370977690183,3.05,138.42483356743244
16,60.815891206562,POINT (656705.8447 428946.5599),8608.117216690656,3.05,147.0329507841231
0,60.8845191409223,POINT (302421.2159 352403.5845),8085.2443366648,3.05,155.1181951207879
0,60.9036994440836,POINT (657103.4705 517617.1236),8062.497906874548,3.05,163.18069302766244
17,60.940134463422,POINT (678575.2662 442068.2128),8219.174063489263,3.05,171.39986709115172
18,61.0941018836808,POINT (657302.2834 429145.3728),8662.023797061325,3.05,180.06189088821304
19,61.1133825408029,POINT (679171.705 430139.4374),7680.456551637896,3.05,187.74234743985093
20,61.1398511500424,POINT (678575.2662 441471.7741),8156.872214090584,3.05,195.89921965394151
1,61.4471850954688,POINT (657302.2834 517020.6848),8106.234700274052,3.05,204.00545435421557
21,61.7239920670251,POINT (678575.2662 440875.3353),8221.894651242075,3.05,212.22734900545763
22,61.7247394309451,POINT (655711.7801 446839.723),8299.838561225972,3.05,220.5271875666836
2,61.7644952078648,POINT (656705.8447 517020.6848),8119.521025743189,3.05,228.6467085924268
23,61.8376485872122,POINT (659489.2256 426560.8048),8669.313520676355,3.05,237.31602211310312
24,61.8539498157537,POINT (656109.4059 446442.0971),8411.645537469323,3.05,245.72766765057247
3,61.9964303435398,POINT (657501.0964 518014.7494),7941.179259767907,3.05,253.66884691034036
25,62.0147113863182,POINT (657699.9093 428747.747),8714.002542297816,3.05,262.3828494526382
26,62.0958188747831,POINT (658495.161 427554.8694),8712.313179211096,3.05,271.0951626318493
27,62.1379191891376,POINT (658892.7868 427157.2436),8692.70307359941,3.05,279.7878657054487
28,62.1572211665816,POINT (656109.4059 428747.747),8647.94356365331,3.05,288.43580926910204
29,62.172803469603,POINT (658097.5351 428151.3082),8811.628081908166,3.05,297.2474373510102
4,62.4238825306569,POINT (657699.9093 517418.3107),8009.442318266224,3.05,305.25687966927643
30,62.448923066455,POINT (674201.3819 429344.1858),7798.424389075661,3.05,313.0553040583521
31,62.5370287697228,POINT (656705.8447 447237.3488),8489.343337135722,3.05,321.5446473954878
32,62.5405187827739,POINT (656109.4059 447237.3488),8323.159345383907,3.05,329.86780674087174
33,62.8439030359622,POINT (680165.7696 432724.0054),7791.91748404937,3.05,337.65972422492115
34,62.8548906409124,POINT (673803.7561 428946.5599),7802.243858321101,3.05,345.46196808324225
35,62.9015063049123,POINT (673406.1302 428548.9341),7780.074605314545,3.05,353.24204268855675
36,62.9744812505535,POINT (678575.2662 430139.4374),7686.84705620451,3.05,360.9288897447613
5,63.0670334408015,POINT (657699.9093 519008.814),7926.163761906518,3.05,368.8550535066678
37,63.1666239137387,POINT (655512.9671 428548.9341),8771.774500005544,3.05,377.6268280066733
6,63.2218046010629,POINT (640005.5591 504893.0965),7863.005462534039,3.05,385.4898334692073
38,63.2353773629147,POINT (679768.1437 432326.3796),7738.090953328518,3.05,393.22792442253586
39,63.2381602935796,POINT (655910.593 445845.6584),8367.35757393032,3.05,401.5952819964662
40,63.3603889054938,POINT (677978.8274 441869.3999),8218.31291894282,3.05,409.81359491540906
41,63.3610062598443,POINT (660085.6644 426560.8048),8599.075811079532,3.05,418.41267072648856
7,63.3825037065845,POINT (657302.2834 518611.1882),7852.864029591543,3.05,426.2655347560801
8,63.4207178992738,POINT (656904.6576 518213.5623),7968.213677248152,3.05,434.2337484333283
42,63.4574362603055,POINT (679370.5179 430735.8762),7726.663996354454,3.05,441.9604124296827
43,63.484861117136,POINT (657103.4705 429741.8116),8773.138321270897,3.05,450.7335507509536
44,63.5379074684082,POINT (676388.3241 452804.1107),8618.33301268802,3.05,459.35188376364164
45,63.5496516333247,POINT (669827.4976 459762.563),8685.287746907688,3.05,468.03717151054934
46,63.6104941244945,POINT (656109.4059 445050.4067),8525.298829449788,3.05,476.56247033999915
47,63.6112501532556,POINT (656507.0318 429542.9987),8583.569449272743,3.05,485.14603978927187
48,63.6214993585474,POINT (677978.8274 441074.1482),8197.129888647136,3.05,493.34316967791904
49,63.6487743843536,POINT (655314.1542 447237.3488),8049.414445155357,3.05,501.39258412307436
9,63.7453776058746,POINT (656507.0318 517617.1236),8010.275380425982,3.05,509.40285950350034
10,63.7627309341157,POINT (656308.2188 516623.059),8088.193976748237,3.05,517.4910534802485
11,63.7700670299414,POINT (655711.7801 516821.8719),8092.63871248864,3.05,525.5836921927372
12,63.815959635465,POINT (639806.7462 504296.6577),7973.974819379082,3.05,533.5576670121163
50,63.8177348207858,POINT (656705.8447 446640.9101),8561.251648216357,3.05,542.1189186603327
51,63.8774347266729,POINT (671020.3751 453201.7365),8525.203463886624,3.05,550.6441221242193
52,63.9006579215313,POINT (657898.7222 429344.1858),8652.325223219364,3.05,559.2964473474386
53,64.0177417466996,POINT (678774.0791 430735.8762),7722.127025307725,3.05,567.0185743727463
54,64.0189747645099,POINT (652331.9604 412047.4615),8340.769542013491,3.05,575.35934391476
13,64.038106225543,POINT (657898.7222 516821.8719),7974.191201392857,3.05,583.3335351161528
55,64.0426326202871,POINT (655512.9671 446243.2842),8289.833283957278,3.05,591.6233684001102
56,64.1239019032229,POINT (656507.0318 446044.4713),8473.252293422938,3.05,600.096620693533
57,64.1462337407677,POINT (678177.6404 440477.7094),8188.636764474581,3.05,608.2852574580077
58,64.1653597777206,POINT (659489.2256 427157.2436),8660.606192780153,3.05,616.9458636507878
59,64.1666881974513,POINT (657302.2834 447436.1617),8579.20678922034,3.05,625.5250704400082
14,64.2067093322258,POINT (657501.0964 516424.246),8110.306597778843,3.05,633.635377037787
60,64.2404605380718,POINT (657699.9093 429940.6245),8607.310146944497,3.05,642.2426871847315
15,64.2677289137892,POINT (656904.6576 516424.246),8151.495540185951,3.05,650.3941827249174
61,64.2777541839331,POINT (655711.7801 447634.9747),8187.040534940954,3.05,658.5812232598583
16,64.3349631280119,POINT (656109.4059 517219.4977),8021.080779122844,3.05,666.6023040389812
62,64.3611473447546,POINT (658296.3481 428747.747),8775.514063422337,3.05,675.3778181024036
63,64.3924994531987,POINT (672213.2527 428151.3082),7769.151977457859,3.05,683.1469700798614
17,64.4222850110212,POINT (656904.6576 519207.627),7937.761674385626,3.05,691.084731754247
18,64.5417257915627,POINT (648753.3278 456382.7433),9072.884044257864,3.05,700.1576157985048
64,64.5653380577479,POINT (677581.2016 442267.0257),8246.562592522681,3.05,708.4041783910275
19,64.5692365869256,POINT (640005.5591 505489.5353),7627.842904662197,3.05,716.0320212956898
65,64.6263453975298,POINT (677978.8274 429940.6245),7633.053161718265,3.05,723.6650744574081
66,64.6425853723235,POINT (659091.5998 427753.6824),8722.965386173708,3.05,732.3880398435817
67,64.7086806665743,POINT (656507.0318 445448.0325),8547.126007206674,3.05,740.9351658507884
68,64.7111992065364,POINT (677978.8274 442664.6516),8265.1585140537,3.05,749.200324364842
20,64.7639209855231,POINT (641198.4367 505091.9094),8248.316892401563,3.05,757.4486412572436
69,64.7849720741565,POINT (673803.7561 429741.8116),7892.3960620472035,3.05,765.3410373192908
70,64.8039819405583,POINT (655910.593 429344.1858),8604.163880953065,3.05,773.9452012002439
71,64.8379507863249,POINT (657699.9093 447833.7876),8652.572632029676,3.05,782.5977738322736
1,64.8602148943053,POINT (336418.2257 329937.7242),7389.83860756984,3.05,789.9876124398434
72,64.8880471823192,POINT (655115.3413 446640.9101),8063.803855884092,3.05,798.0514162957274
73,64.9087625181434,POINT (658693.9739 428151.3082),8735.217882349083,3.05,806.7866341780765
74,64.9496745916838,POINT (666248.865 457376.8079),8745.814247760682,3.05,815.5324484258372
75,64.9673686755422,POINT (679768.1437 431133.5021),7688.57800353002,3.05,823.2210264293673
76,64.9771786581086,POINT (660682.1031 426560.8048),8233.741632326348,3.05,831.4547680616936
2,64.9981990551394,POINT (304011.7192 352204.7716),7243.560739461229,3.05,838.6983288011548
21,65.0453708680011,POINT (657898.7222 518412.3753),7821.224857012967,3.05,846.5195536581679
77,65.0509520447703,POINT (666447.6779 446839.723),8147.393406349615,3.05,854.6669470645174
78,65.0553935563462,POINT (676587.137 452207.6719),8585.367752558548,3.05,863.252314817076
22,65.0730752757414,POINT (658296.3481 519207.627),7769.563992650967,3.05,871.0218788097269
79,65.0764775491561,POINT (656904.6576 447833.7876),8466.405512701784,3.05,879.4882843224287
23,65.1526478388427,POINT (656507.0318 518810.0011),7988.08074328971,3.05,887.4763650657184
24,65.1909166382801,POINT (658495.161 518611.1882),7978.9508197048335,3.05,895.4553158854233
80,65.2640385597153,POINT (670225.1234 460359.0017),8725.800766726423,3.05,904.1811166521496
